Side,Type,Metric,Value
head,realistic,hits_at_1,0.00023001725129384704
head,realistic,hits_at_3,0.0006900517538815411
head,realistic,hits_at_5,0.0013801035077630822
head,realistic,hits_at_10,0.002645198389879241
head,realistic,arithmetic_mean_rank,6924.6537665324895
head,realistic,geometric_mean_rank,5236.9271737044755
head,realistic,median_rank,8762.0
head,realistic,harmonic_mean_rank,682.189741613634
head,realistic,inverse_arithmetic_mean_rank,0.00014441155236281922
head,realistic,inverse_geometric_mean_rank,0.00019095167200742724
head,realistic,inverse_harmonic_mean_rank,0.0014658678355887113
head,realistic,inverse_median_rank,0.00011412919424788861
head,realistic,rank_std,2898.1286278326893
head,realistic,rank_var,8399149.543463387
head,realistic,rank_mad,86.0
head,realistic,adjusted_arithmetic_mean_rank,1.5771832826263794
head,realistic,adjusted_arithmetic_mean_rank_index,-0.5773147738519093
head,pessimistic,hits_at_1,0.00023001725129384704
head,pessimistic,hits_at_3,0.0006900517538815411
head,pessimistic,hits_at_5,0.0013801035077630822
head,pessimistic,hits_at_10,0.002645198389879241
head,pessimistic,arithmetic_mean_rank,6924.653939045428
head,pessimistic,geometric_mean_rank,5236.927579112254
head,pessimistic,median_rank,8762.0
head,pessimistic,harmonic_mean_rank,682.1897627458052
head,pessimistic,inverse_arithmetic_mean_rank,0.00014441154876511435
head,pessimistic,inverse_geometric_mean_rank,0.00019095165722523064
head,pessimistic,inverse_harmonic_mean_rank,0.0014658677901805688
head,pessimistic,inverse_median_rank,0.00011412919424788861
head,pessimistic,rank_std,2898.1284439240453
head,pessimistic,rank_var,8399148.47748161
head,pessimistic,rank_mad,86.0
head,optimistic,hits_at_1,0.00023001725129384704
head,optimistic,hits_at_3,0.0006900517538815411
head,optimistic,hits_at_5,0.0013801035077630822
head,optimistic,hits_at_10,0.002645198389879241
head,optimistic,arithmetic_mean_rank,6924.653594019552
head,optimistic,geometric_mean_rank,5236.926768177805
head,optimistic,median_rank,8762.0
head,optimistic,harmonic_mean_rank,682.1897204678623
head,optimistic,inverse_arithmetic_mean_rank,0.00014441155596052428
head,optimistic,inverse_geometric_mean_rank,0.00019095168679396127
head,optimistic,inverse_harmonic_mean_rank,0.0014658678810260811
head,optimistic,inverse_median_rank,0.00011412919424788861
head,optimistic,rank_std,2898.1288117710737
head,optimistic,rank_var,8399150.609617617
head,optimistic,rank_mad,86.0
both,realistic,hits_at_1,0.3392754456584244
both,realistic,hits_at_3,0.3625646923519264
both,realistic,hits_at_5,0.3763657274295572
both,realistic,hits_at_10,0.399252443933295
both,realistic,arithmetic_mean_rank,3485.892035652674
both,realistic,geometric_mean_rank,121.09654962481193
both,realistic,median_rank,232.0
both,realistic,harmonic_mean_rank,2.7835310697233475
both,realistic,inverse_arithmetic_mean_rank,0.0002868706172687781
both,realistic,inverse_geometric_mean_rank,0.008257873598366392
both,realistic,inverse_harmonic_mean_rank,0.3592559145026497
both,realistic,inverse_median_rank,0.004310344827586207
both,realistic,rank_std,4010.3618765101787
both,realistic,rank_var,16083002.380566241
both,realistic,rank_mad,231.0
both,realistic,adjusted_arithmetic_mean_rank,0.7906742814423775
both,realistic,adjusted_arithmetic_mean_rank_index,0.20937320884411537
both,pessimistic,hits_at_1,0.3392754456584244
both,pessimistic,hits_at_3,0.3625646923519264
both,pessimistic,hits_at_5,0.3763657274295572
both,pessimistic,hits_at_10,0.399252443933295
both,pessimistic,arithmetic_mean_rank,3485.892121909143
both,pessimistic,geometric_mean_rank,121.09655431205319
both,pessimistic,median_rank,232.0
both,pessimistic,harmonic_mean_rank,2.7835310698992597
both,pessimistic,inverse_arithmetic_mean_rank,0.0002868706101703236
both,pessimistic,inverse_geometric_mean_rank,0.008257873278731816
both,pessimistic,inverse_harmonic_mean_rank,0.35925591447994565
both,pessimistic,inverse_median_rank,0.004310344827586207
both,pessimistic,rank_std,4010.361884020724
both,pessimistic,rank_var,16083002.440806253
both,pessimistic,rank_mad,231.0
both,optimistic,hits_at_1,0.3392754456584244
both,optimistic,hits_at_3,0.3625646923519264
both,optimistic,hits_at_5,0.3763657274295572
both,optimistic,hits_at_10,0.399252443933295
both,optimistic,arithmetic_mean_rank,3485.891949396205
both,optimistic,geometric_mean_rank,121.09654493619588
both,optimistic,median_rank,232.0
both,optimistic,harmonic_mean_rank,2.783531069547322
both,optimistic,inverse_arithmetic_mean_rank,0.00028687062436723293
both,optimistic,inverse_geometric_mean_rank,0.008257873918094743
both,optimistic,inverse_harmonic_mean_rank,0.35925591452536837
both,optimistic,inverse_median_rank,0.004310344827586207
both,optimistic,rank_std,4010.3618690103854
both,optimistic,rank_var,16083002.320412472
both,optimistic,rank_mad,231.0
tail,realistic,hits_at_1,0.678320874065555
tail,realistic,hits_at_3,0.7244393329499712
tail,realistic,hits_at_5,0.7513513513513513
tail,realistic,hits_at_10,0.7958596894767107
tail,realistic,arithmetic_mean_rank,47.13030477285796
tail,realistic,geometric_mean_rank,2.8001867974538444
tail,realistic,median_rank,1.0
tail,realistic,harmonic_mean_rank,1.3946107420627667
tail,realistic,inverse_arithmetic_mean_rank,0.021217770706543224
tail,realistic,inverse_geometric_mean_rank,0.35711903252643024
tail,realistic,inverse_harmonic_mean_rank,0.7170459611697106
tail,realistic,inverse_median_rank,1.0
tail,realistic,rank_std,341.6002548915915
tail,realistic,rank_var,116690.73414200025
tail,realistic,rank_mad,0.0
tail,realistic,adjusted_arithmetic_mean_rank,0.010646109789101563
tail,realistic,adjusted_arithmetic_mean_rank_index,0.9895774226055359
tail,pessimistic,hits_at_1,0.678320874065555
tail,pessimistic,hits_at_3,0.7244393329499712
tail,pessimistic,hits_at_5,0.7513513513513513
tail,pessimistic,hits_at_10,0.7958596894767107
tail,pessimistic,arithmetic_mean_rank,47.13030477285796
tail,pessimistic,geometric_mean_rank,2.8001867974538444
tail,pessimistic,median_rank,1.0
tail,pessimistic,harmonic_mean_rank,1.3946107420627667
tail,pessimistic,inverse_arithmetic_mean_rank,0.021217770706543224
tail,pessimistic,inverse_geometric_mean_rank,0.35711903252643024
tail,pessimistic,inverse_harmonic_mean_rank,0.7170459611697106
tail,pessimistic,inverse_median_rank,1.0
tail,pessimistic,rank_std,341.6002548915915
tail,pessimistic,rank_var,116690.73414200025
tail,pessimistic,rank_mad,0.0
tail,optimistic,hits_at_1,0.678320874065555
tail,optimistic,hits_at_3,0.7244393329499712
tail,optimistic,hits_at_5,0.7513513513513513
tail,optimistic,hits_at_10,0.7958596894767107
tail,optimistic,arithmetic_mean_rank,47.13030477285796
tail,optimistic,geometric_mean_rank,2.8001867974538444
tail,optimistic,median_rank,1.0
tail,optimistic,harmonic_mean_rank,1.3946107420627667
tail,optimistic,inverse_arithmetic_mean_rank,0.021217770706543224
tail,optimistic,inverse_geometric_mean_rank,0.35711903252643024
tail,optimistic,inverse_harmonic_mean_rank,0.7170459611697106
tail,optimistic,inverse_median_rank,1.0
tail,optimistic,rank_std,341.6002548915915
tail,optimistic,rank_var,116690.73414200025
tail,optimistic,rank_mad,0.0
